id,title,year,rating,votes,runtime,genres
132,The Truman Show,1998,8.2,1.3M,1h 43m,Dark Comedy
133,For a Few Dollars More,1965,8.2,289K,2h 12m,One-Person Army Action
134,Oordeel te Neurenberg,1961,8.3,92K,2h 59m,Legal Drama
135,Some Like It Hot,1959,8.2,296K,2h 1m,Buddy Comedy
136,Shutter Island,2010,8.2,1.6M,2h 18m,Psychological Thriller
137,The Kid,1921,8.2,141K,1h 8m,Buddy Comedy
138,The Father,2020,8.2,214K,1h 37m,Psychological Drama
139,All About Eve,1950,8.2,145K,2h 18m,Showbiz Drama
140,Jurassic Park,1993,8.2,1.1M,2h 7m,Dinosaur Adventure
141,There Will Be Blood,2007,8.2,673K,2h 38m,Epic
142,The Sixth Sense,1999,8.2,1.1M,1h 47m,Psychological Drama
143,Casino,1995,8.2,594K,2h 58m,Docudrama
144,Ran,1985,8.2,144K,2h 40m,Epic
145,Top Gun: Maverick,2022,8.2,780K,2h 10m,Action Epic
146,No Country for Old Men,2007,8.2,1.1M,2h 2m,Contemporary Western
147,The Thing,1982,8.2,500K,1h 49m,Alien Invasion
148,Pan's Labyrinth,2006,8.2,726K,1h 58m,Coming-of-Age
149,Unforgiven,1992,8.2,455K,2h 10m,Period Drama
150,Kill Bill,2003,8.2,1.3M,1h 51m,Kung Fu
151,A Beautiful Mind,2001,8.2,1M,2h 15m,Docudrama
152,The Treasure of the Sierra Madre,1948,8.2,138K,2h 6m,Tragedy
153,Prisoners,2013,8.2,875K,2h 33m,Psychological Thriller
154,Yojimbo,1961,8.2,138K,1h 50m,One-Person Army Action
155,Finding Nemo,2003,8.2,1.2M,1h 40m,Animal Adventure
156,Howl's Moving Castle,2004,8.2,485K,1h 59m,Adventure Epic
157,The Great Escape,1963,8.2,269K,2h 52m,Epic
158,Monty Python and the Holy Grail,1975,8.2,589K,1h 31m,Farce
159,The Elephant Man,1980,8.2,273K,2h 4m,Docudrama
160,Dial M for Murder,1954,8.2,198K,1h 45m,Crime
161,Klaus,2019,8.2,215K,1h 36m,Hand-Drawn Animation
162,Gejaagd door de wind,1939,8.2,347K,3h 58m,Costume Drama
163,Chinatown,1974,8.1,366K,2h 10m,Conspiracy Thriller
164,Rashomon,1950,8.2,190K,1h 28m,Period Drama
165,El secreto de sus ojos,2009,8.2,233K,2h 9m,Dark Romance
166,"Lock, Stock and Two Smoking Barrels",1998,8.1,636K,1h 47m,Dark Comedy
167,V for Vendetta,2005,8.1,1.2M,2h 12m,Dystopian Sci-Fi
168,Binnenstebuiten,2015,8.1,870K,1h 35m,Coming-of-Age
