,id,title,year,rating,votes,runtime,genres,decade
44,44,Casablanca,1942,8.5,633000,0 days 01:42:00,Psychological Drama,1940-e
45,45,The Usual Suspects,1995,8.5,1200000,0 days 01:46:00,Caper,1990-e
46,46,Intouchables,2011,8.5,981000,0 days 01:52:00,Docudrama,2010-e
47,47,Cinema Paradiso,1988,8.5,302000,0 days 02:54:00,Coming-of-Age,1980-e
48,48,Alien,1979,8.5,1000000,0 days 01:57:00,Alien Invasion,1970-e
49,49,Modern Times,1936,8.5,274000,0 days 01:27:00,Romantic Comedy,1930-e
50,50,Rear Window,1954,8.5,548000,0 days 01:52:00,Psychological Thriller,1950-e
51,51,Once Upon a Time in the West,1968,8.5,369000,0 days 02:46:00,Desert Adventure,1960-e
52,52,Django Unchained,2012,8.5,1800000,0 days 02:45:00,Dark Comedy,2010-e
53,53,City Lights,1931,8.5,207000,0 days 01:27:00,Feel-Good Romance,1930-e
54,54,Apocalypse Now,1979,8.4,744000,0 days 02:27:00,Adventure Epic,1970-e
55,55,Dune: Part Two,2024,8.5,636000,0 days 02:46:00,Action Epic,2020-e
56,56,WALL-E,2008,8.4,1300000,0 days 01:38:00,Adventure Epic,2000-e
57,57,Memento,2000,8.4,1400000,0 days 01:53:00,Psychological Thriller,2000-e
58,58,Indiana Jones and the Raiders of the Lost Ark,1981,8.4,1100000,0 days 01:55:00,Adventure Epic,1980-e
59,59,Das Leben der Anderen,2006,8.4,428000,0 days 02:17:00,Political Thriller,2000-e
60,60,Avengers: Infinity War,2018,8.4,1300000,0 days 02:29:00,Space Sci-Fi,2010-e
61,61,Sunset Boulevard,1950,8.4,249000,0 days 01:50:00,Dark Comedy,1950-e
62,62,Spider-Man: Een nieuw universum,2018,8.4,734000,0 days 01:57:00,Computer Animation,2010-e
63,63,Witness for the Prosecution,1957,8.4,150000,0 days 01:56:00,Legal Drama,1950-e
64,64,Het veld van eer,1957,8.4,227000,0 days 01:28:00,Epic,1950-e
65,65,The Shining,1980,8.4,1200000,0 days 02:26:00,Psychological Drama,1980-e
66,66,De dictator,1940,8.4,249000,0 days 02:05:00,Parody,1940-e
67,67,12th Fail,2023,8.7,149000,0 days 02:27:00,Docudrama,2020-e
68,68,Inglourious Basterds,2009,8.4,1700000,0 days 02:33:00,Dark Comedy,2000-e
69,69,Aliens,1986,8.4,810000,0 days 02:17:00,Alien Invasion,1980-e
70,70,The Dark Knight Rises,2012,8.4,1900000,0 days 02:44:00,Action Epic,2010-e
71,71,Coco,2017,8.4,652000,0 days 01:45:00,Computer Animation,2010-e
72,72,Amadeus,1984,8.4,450000,0 days 02:40:00,Costume Drama,1980-e
73,73,Toy Story,1995,8.3,1100000,0 days 01:21:00,Buddy Comedy,1990-e
74,74,Avengers: Endgame,2019,8.4,1400000,0 days 03:01:00,Space Sci-Fi,2010-e
75,75,Good Will Hunting,1997,8.3,1100000,0 days 02:06:00,Coming-of-Age,1990-e
76,76,Old Boy,2003,8.3,681000,0 days 02:00:00,Dark Comedy,2000-e
77,77,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,8.3,539000,0 days 01:35:00,Dark Comedy,1960-e
78,78,Das Boot,1981,8.4,280000,0 days 02:29:00,Epic,1980-e
79,79,Braveheart,1995,8.3,1100000,0 days 02:58:00,Action Epic,1990-e
80,80,American Beauty,1999,8.3,1300000,0 days 02:02:00,Psychological Drama,1990-e
81,81,Princess Mononoke,1997,8.3,462000,0 days 02:13:00,Action Epic,1990-e
82,82,High and Low,1963,8.4,61000,0 days 02:23:00,Police Procedural,1960-e
83,83,Your Name,2016,8.4,359000,0 days 01:46:00,Anime,2010-e
84,84,3 Idiots,2009,8.4,460000,0 days 02:50:00,Buddy Comedy,2000-e
85,85,Joker,2019,8.3,1600000,0 days 02:02:00,Psychological Drama,2010-e
86,86,Once Upon a Time in America,1984,8.3,396000,0 days 03:49:00,Dark Comedy,1980-e
87,87,Capernaum,2018,8.4,117000,0 days 02:06:00,Coming-of-Age,2010-e
88,88,Singin' in the Rain,1952,8.3,273000,0 days 01:43:00,Classic Musical,1950-e
89,89,Idi i smotri,1985,8.3,113000,0 days 02:22:00,Epic,1980-e
90,90,Requiem for a Dream,2000,8.3,941000,0 days 01:42:00,Psychological Drama,2000-e
91,91,Star Wars: Episode VI - Return of the Jedi,1983,8.3,1200000,0 days 02:11:00,Action Epic,1980-e
92,92,Toy Story 3,2010,8.3,934000,0 days 01:43:00,Computer Animation,2010-e
93,93,The Hunt,2012,8.3,389000,0 days 01:55:00,Psychological Drama,2010-e
94,94,Ikiru,1952,8.3,97000,0 days 02:23:00,Psychological Drama,1950-e
95,95,Eternal Sunshine of the Spotless Mind,2004,8.3,1100000,0 days 01:48:00,Dark Romance,2000-e
96,96,Hababam Sinifi: Sinifta Kaldi,1975,8.7,27000,0 days 01:35:00,Satire,1970-e
97,97,2001: Een zwerftocht in de ruimte,1968,8.3,755000,0 days 02:29:00,Adventure Epic,1960-e
98,98,Incendies,2010,8.3,229000,0 days 02:11:00,Suspense Mystery,2010-e
99,99,Reservoir Dogs,1992,8.3,1100000,0 days 01:39:00,Gangster,1990-e
100,100,Het appartement,1960,8.3,209000,0 days 02:05:00,Farce,1960-e
101,101,Lawrence of Arabia,1962,8.3,330000,0 days 03:47:00,Adventure Epic,1960-e
102,102,Scarface,1983,8.3,968000,0 days 02:50:00,Drug Crime,1980-e
103,103,Bloedgeld,1944,8.3,175000,0 days 01:47:00,Film Noir,1940-e
104,104,Heat,1995,8.3,760000,0 days 02:50:00,Action Epic,1990-e
105,105,North by Northwest,1959,8.3,361000,0 days 02:16:00,Spy,1950-e
106,106,Up,2009,8.3,1200000,0 days 01:36:00,Coming-of-Age,2000-e
107,107,Citizen Kane,1941,8.3,482000,0 days 01:59:00,Epic,1940-e
108,108,M - Eine Stadt sucht einen Mörder,1931,8.3,177000,0 days 01:57:00,Psychological Thriller,1930-e
109,109,Full Metal Jacket,1987,8.2,823000,0 days 01:56:00,Dark Comedy,1980-e
110,110,Vertigo,1958,8.2,446000,0 days 02:08:00,Psychological Thriller,1950-e
111,111,Le fabuleux destin d'Amélie Poulain,2001,8.3,820000,0 days 02:02:00,Feel-Good Romance,2000-e
112,112,A Separation,2011,8.3,270000,0 days 02:03:00,Legal Drama,2010-e
113,113,Taare Zameen Par,2007,8.3,218000,0 days 02:42:00,Coming-of-Age,2000-e
114,114,To Kill a Mockingbird,1962,8.3,344000,0 days 02:09:00,Legal Drama,1960-e
115,115,A Clockwork Orange,1971,8.2,913000,0 days 02:16:00,Dark Comedy,1970-e
116,116,Die Hard,1988,8.2,992000,0 days 02:12:00,Disaster,1980-e
117,117,The Sting,1973,8.2,291000,0 days 02:09:00,Caper,1970-e
118,118,Indiana Jones and the Last Crusade,1989,8.2,840000,0 days 02:07:00,Adventure Epic,1980-e
119,119,Oppenheimer,2023,8.3,897000,0 days 03:00:00,Docudrama,2020-e
120,120,Metropolis,1927,8.3,195000,0 days 02:33:00,Dystopian Sci-Fi,1920-e
121,121,Snatch,2000,8.2,948000,0 days 01:44:00,Caper,2000-e
122,122,1917,2019,8.2,730000,0 days 01:59:00,Epic,2010-e
123,123,L.A. Confidential,1997,8.2,642000,0 days 02:18:00,Conspiracy Thriller,1990-e
124,124,Ladri di biciclette,1948,8.2,186000,0 days 01:29:00,Tragedy,1940-e
125,125,Der Untergang,2004,8.2,389000,0 days 02:36:00,Docudrama,2000-e
126,126,Dangal,2016,8.3,227000,0 days 02:41:00,Coming-of-Age,2010-e
127,127,The Wolf of Wall Street,2013,8.2,1700000,0 days 03:00:00,Dark Comedy,2010-e
128,128,Hamilton,2020,8.3,128000,0 days 02:40:00,Epic,2020-e
129,129,Taxi Driver,1976,8.2,981000,0 days 01:54:00,Psychological Drama,1970-e
130,130,Green Book,2018,8.2,638000,0 days 02:10:00,Docudrama,2010-e
131,131,Batman Begins,2005,8.2,1600000,0 days 02:20:00,Action Epic,2000-e
132,132,The Truman Show,1998,8.2,1300000,0 days 01:43:00,Dark Comedy,1990-e
133,133,For a Few Dollars More,1965,8.2,289000,0 days 02:12:00,One-Person Army Action,1960-e
134,134,Oordeel te Neurenberg,1961,8.3,92000,0 days 02:59:00,Legal Drama,1960-e
135,135,Some Like It Hot,1959,8.2,296000,0 days 02:01:00,Buddy Comedy,1950-e
136,136,Shutter Island,2010,8.2,1600000,0 days 02:18:00,Psychological Thriller,2010-e
137,137,The Kid,1921,8.2,141000,0 days 01:08:00,Buddy Comedy,1920-e
138,138,The Father,2020,8.2,214000,0 days 01:37:00,Psychological Drama,2020-e
139,139,All About Eve,1950,8.2,145000,0 days 02:18:00,Showbiz Drama,1950-e
140,140,Jurassic Park,1993,8.2,1100000,0 days 02:07:00,Dinosaur Adventure,1990-e
141,141,There Will Be Blood,2007,8.2,673000,0 days 02:38:00,Epic,2000-e
142,142,The Sixth Sense,1999,8.2,1100000,0 days 01:47:00,Psychological Drama,1990-e
143,143,Casino,1995,8.2,594000,0 days 02:58:00,Docudrama,1990-e
144,144,Ran,1985,8.2,144000,0 days 02:40:00,Epic,1980-e
145,145,Top Gun: Maverick,2022,8.2,780000,0 days 02:10:00,Action Epic,2020-e
146,146,No Country for Old Men,2007,8.2,1100000,0 days 02:02:00,Contemporary Western,2000-e
147,147,The Thing,1982,8.2,500000,0 days 01:49:00,Alien Invasion,1980-e
148,148,Pan's Labyrinth,2006,8.2,726000,0 days 01:58:00,Coming-of-Age,2000-e
149,149,Unforgiven,1992,8.2,455000,0 days 02:10:00,Period Drama,1990-e
150,150,Kill Bill,2003,8.2,1300000,0 days 01:51:00,Kung Fu,2000-e
151,151,A Beautiful Mind,2001,8.2,1000000,0 days 02:15:00,Docudrama,2000-e
152,152,The Treasure of the Sierra Madre,1948,8.2,138000,0 days 02:06:00,Tragedy,1940-e
